image_path,color,type,x,y
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_E4.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_E5.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_E6.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_E7.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_E8.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_F1.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_F2.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_F3.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_F4.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_F5.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_F6.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_F7.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_F8.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_G1.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_G2.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_G3.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_G4.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_G5.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_G6.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_G7.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_G8.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_H1.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_H2.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_H3.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_H4.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_H5.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_H6.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_H7.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_queen/white_queen_1_H8.png,1,queen,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_A1.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_A2.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_A3.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_A4.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_A5.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_A6.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_A7.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_A8.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_B1.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_B2.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_B3.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_B4.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_B5.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_B6.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_B7.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_B8.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_C1.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_C2.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_C3.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_C4.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_C5.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_C6.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_C7.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_C8.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_D1.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_D2.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_D3.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_D4.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_D5.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_D6.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_D7.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_D8.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_E1.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_E2.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_E3.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_E4.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_E5.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_E6.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_E7.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_E8.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_F1.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_F2.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_F3.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_F4.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_F5.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_F6.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_F7.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_F8.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_G1.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_G2.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_G3.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_G4.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_G5.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_G6.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_G7.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_G8.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_H1.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_H2.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_H3.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_H4.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_H5.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_H6.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_H7.png,1,rook,1,1
/home/set/projects/Solver_new_26/data/raw/chess_pieces/valid/white_rook/white_rook_1_H8.png,1,rook,1,1
